Model,Accuracy,Precision,Recall,F1-score,MCC,ROC-AUC
AdaBoost,0.9924669313955896,0.8686937155030503,0.9242260341008602,0.8955998702173859,0.8921569076503426,0.998659449518207
RandomForest,0.9987862088837264,0.9797736699267756,0.9856281872971719,0.9826922089260952,0.9820679445693324,0.9999513891972649
ExtraTrees,0.9982459457755927,0.969018670193824,0.9811981661773038,0.9750703864857947,0.9741818257884268,0.9998999581186875
GradientBoost,0.9970501634295902,0.956964368347987,0.9587389893370422,0.9578508568781844,0.9563228974685208,0.9997270316350884
XGBoost,0.9990473360526576,0.9847022587268994,0.9881007572245403,0.9863985807214666,0.9859065343620621,0.9999695580546413
CatBoost,0.9992220211242875,0.9867172675521821,0.9910884458867769,0.9888980263157895,0.9884975073942118,0.9999792978545289
AdaBoost_Tuned,0.9984818606661444,0.9754224270353302,0.9813011899242775,0.9783529774285494,0.9775710689289179,0.9999202079856951
GradientBoost_Tuned,0.9983648036593821,0.9722831912612935,0.9811981661773038,0.9767203363757563,0.9758839122380398,0.9998976936022366
RandomForest_Tuned,0.997239255517437,0.9548692378141854,0.9667233297275022,0.9607597204802006,0.9593486858986352,0.9997377149234179
ExtraTrees_Tuned,0.9974697677769073,0.955852571891454,0.972544171431515,0.9641261330269373,0.9628536273769944,0.9997149850227828
